,PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,TPM,TPA,FTM,FTA,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
187,Ekpe Udoh,LAC,28,4,2,2,3,0.5,0.3,0.8,0,0,0,0,0,0.8,0.8,0,0,0,0,0.8,1.4,0,0,2.5
186,Justin Holiday,GSW,26,5,5,0,2.2,0.6,0.2,0.4,0.2,0.2,0,0,0,0.2,0.2,0.2,0.4,0,0,0.2,0.7,0,0,-0.6
185,James Michael McAdoo,GSW,22,5,5,0,2,0.8,0.4,0.6,0,0,0,0,0.2,0.6,0.8,0,0.2,0,0.2,0,2.2,0,0,-0.8
184,Matt Bonner,SAS,35,7,3,4,5.2,0.9,0.3,1.4,0.3,1.3,0,0,0,0.9,0.9,0.1,0.1,0,0.1,1.1,2.4,0,0,2.4
183,Hedo Turkoglu,LAC,36,11,7,4,5,0.9,0.4,1.5,0.2,1.2,0,0,0.1,0.5,0.6,0.4,0.2,0.4,0.1,0.9,3.4,0,0,-3
180,Brandon Rush,GSW,29,3,3,0,2.5,1,0.3,2,0.3,0.7,0,0,0.3,0.7,1,0,0,0,0,0.7,2.2,0,0,0
180,Jon Leuer,MEM,26,4,1,3,2.4,1,0.5,1,0,0,0,0,0.5,0.8,1.3,0,0,0,0,0.3,2.5,0,0,-0.5
180,Mike Miller,CLE,35,9,5,4,7.3,1,0.3,0.6,0.3,0.6,0,0,0,1.1,1.1,0,0.1,0.1,0.1,0.7,2.9,0,0,-1.4
178,Kendrick Perkins,CLE,30,8,7,1,4.1,1.3,0.3,1,0,0,0.8,1.3,0.3,0.9,1.1,0,0.5,0,0.4,0.8,3.2,0,0,-1.6
178,Tyler Hansbrough,TOR,29,4,0,4,11.9,1.3,0.3,1.3,0,0,0.8,1,0.3,1.3,1.5,0.8,0.5,0.5,0.3,2,5.9,0,0,-1.8
174,Gigi Datome,BOS,27,3,0,3,4.6,1.3,0.7,2,0,0.7,0,0,0,0.3,0.3,0.3,0,0,0,1.3,2.2,0,0,0.3
174,Joe Harris,CLE,23,6,4,2,2.6,1.3,0.3,1,0.2,0.5,0.5,0.7,0,0.2,0.2,0.2,0.2,0,0,0.2,1.6,0,0,-1.3
174,Nazr Mohammed,CHI,37,3,1,2,4.5,1.3,0.7,2.3,0,0.3,0,0,1,0.7,1.7,0,0,0,0.3,0,4.3,0,0,7.7
174,Nick Johnson,HOU,22,9,4,5,5.4,1.3,0.4,1.9,0.1,0.8,0.3,0.3,0.1,0.3,0.4,0.4,0.4,0,0.1,0.8,2.4,0,0,-1.4
173,Steve Blake,POR,35,5,1,4,8.5,1.4,0.4,2.2,0.2,1.6,0.4,0.4,0,0.2,0.2,1.6,0.4,0,0.2,0.8,4.2,0,0,-4
170,Arron Afflalo,POR,29,3,1,2,20,1.7,0.7,4,0.3,1.3,0,0.3,0,2.3,2.3,0.7,1,0,0,2,4.5,0,0,-14.7
170,Doug McDermott,CHI,23,3,1,2,3.2,1.7,0.3,1,0.3,0.7,0.7,0.7,0.3,0.3,0.7,0.3,0.3,0,0,0,2.6,0,0,5
170,E'Twaun Moore,CHI,26,3,1,2,2.8,1.7,0.7,2,0.3,0.3,0,0,0,1,1,0,0,0.7,0,0.3,4.9,0,0,3.7
168,Garrett Temple,WAS,29,4,1,3,6.5,1.8,0.3,1.5,0,0.8,1.3,2,0.3,0.5,0.8,0.3,0.8,0.5,0,1,3.8,0,0,-2.3
168,Jordan Adams,MEM,20,4,1,3,2.4,1.8,0.5,0.8,0.3,0.3,0.5,1,0,0.3,0.3,0,0,0.3,0,0,2.8,0,0,2.3
161,James Johnson,TOR,28,2,0,2,6,2,1,3,0,0,0,3,0,1,1,0.5,0,0,0,0,4,0,0,-4
161,Jorge Gutierrez,MIL,26,1,0,1,12,2,1,2,0,0,0,0,0,1,1,1,0,0,0,1,4.7,0,0,-15
161,Kris Humphries,WAS,30,1,1,0,5.2,2,1,1,0,0,0,0,0,3,3,0,0,0,0,1,5.6,0,0,-4
161,Lester Hudson,LAC,30,7,3,4,5.4,2,0.9,2,0.3,1,0,0,0,0.1,0.1,1,0.4,0.3,0.1,1.1,4.5,0,0,0.3
161,Martell Webster,WAS,28,1,1,0,4.2,2,1,2,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,-1
161,Mason Plumlee,BKN,25,6,2,4,8.2,2,0.7,1,0,0,0.7,1.8,0.3,1,1.3,0.3,0.5,0.7,0.3,1.7,6.6,0,0,-2.3
161,Omer Asik,NOP,28,4,0,4,19.8,2,0.5,2.5,0,0,1,1.8,3,4.3,7.3,1.5,1.3,1.3,0,2.5,15.5,0,0,-9
160,Aron Baynes,SAS,28,4,2,2,10,2.3,0.8,2.5,0,0,0.8,0.8,0.8,1.8,2.5,0.3,0.8,0,0,2.3,4.9,0,0,-1.5
159,John Jenkins,ATL,24,4,1,3,5.3,2.5,1,1.5,0.5,1,0,0,0.3,0.5,0.8,0,0,0,0,0.5,3.4,0,0,2.3
158,Kirk Hinrich,CHI,34,10,4,6,12.6,2.6,0.9,1.9,0.6,1,0.2,0.3,0,0.5,0.5,1.1,0.1,0.3,0.1,1.4,6,0,0,-5.5
157,Alexis Ajinca,NOP,27,3,0,3,3.5,2.7,1.3,1.3,0,0,0,0,0,0.3,0.3,0.3,0,0.3,0,0.7,4.6,0,0,-2.7
155,Cory Joseph,SAS,23,4,2,2,5.4,2.8,1.3,1.5,0,0,0.3,0.5,0,0.3,0.3,0,0.3,0,0.3,0.5,3.6,0,0,-5.5
155,Jonas Jerebko,BOS,28,4,0,4,17,2.8,1.3,3.8,0,1,0.3,0.5,1,2.5,3.5,0.3,0.8,0.5,0.3,2.3,8.8,0,0,1.5
154,Spencer Hawes,LAC,27,8,4,4,7.1,2.9,1.1,2.1,0.4,0.8,0.3,0.3,0.4,1.3,1.6,0.6,0.1,0.3,0.4,1.5,7.5,0,0,0.3
153,Glen Davis,LAC,29,14,7,7,10.3,2.9,1.2,2.7,0,0.1,0.5,0.6,0.6,1.3,1.9,0.2,0.6,0.4,0.4,2.4,7.1,0,0,-3.1
149,Chris Kaman,POR,33,3,0,3,12.4,3,1.3,2.7,0,0,0.3,0.3,1.7,3,4.7,1,1,0,0,1.7,9.1,0,0,-3.7
149,Earl Clark,BKN,27,2,0,2,6.5,3,1,5,1,1.5,0,0,0,1,1,0,0,0.5,0,0.5,5.7,0,0,-7.5
149,Markel Brown,BKN,23,2,0,2,5.1,3,1,2.5,0,1,1,1,1,0,1,0.5,1,0,0,0,4,0,0,-5
149,Miles Plumlee,MIL,26,1,0,1,16.4,3,1,8,0,0,1,2,3,3,6,1,1,0,1,1,13.7,0,0,-8
148,David Lee,GSW,32,13,10,3,8.2,3.1,1.2,3.1,0,0,0.6,1.2,0.8,1.8,2.6,0.6,0.2,0.2,0.2,1.3,8.1,0,0,2.6
147,Pablo Prigioni,HOU,38,17,9,8,17.3,3.1,1.1,3.4,0.7,2.4,0.2,0.2,0.4,0.8,1.1,2.3,0.7,0.9,0,2.4,9.8,0,0,-1.2
146,Nick Calathes,MEM,26,10,5,5,12.6,3.3,1.2,3.6,0.6,1.3,0.3,0.8,0.1,1.5,1.6,1.6,1,0.9,0.1,1.5,9.6,0,0,0.8
145,Clint Capela,HOU,21,17,9,8,7.5,3.4,1.2,1.8,0,0,0.9,1.7,0.8,1.7,2.5,0.3,0.2,0.2,0.5,1.1,8.7,0,0,-2
144,Kosta Koufos,MEM,26,11,6,5,11.6,3.4,1.5,2.8,0,0,0.3,0.5,1.7,1.8,3.5,0.4,0.1,0.4,0.5,1.3,10.8,0,0,-2.5
143,Tiago Splitter,SAS,30,7,3,4,17.6,3.4,1.3,3.4,0,0,0.9,2.7,1.9,2.6,4.4,1.3,1,0.6,0.1,2.4,11.8,0,0,-2.3
142,Festus Ezeli,GSW,25,20,15,5,9.2,3.5,1.4,2.5,0,0,0.8,1.5,1.2,1.9,3.1,0.3,0.6,0.1,0.5,1.3,8.7,0,0,0.6
141,Raymond Felton,DAL,31,3,1,2,12,3.7,1.3,5,0,1.3,1,1,0.3,2,2.3,1.3,0,0,0,0.3,8.5,0,0,-5
140,Marreese Speights,GSW,27,10,7,3,6.7,3.7,1.4,4.2,0,0,0.9,1.5,0.8,1.3,2.1,0.4,0.4,0.4,0.3,1.4,8.5,0,0,0.3
139,Richard Jefferson,DAL,35,4,1,3,12.7,3.8,1.3,3.5,0.8,2,0.5,0.5,0,0.5,0.5,0.3,0.8,0.5,0,2.3,5.5,0,0,-8.3
138,Shelvin Mack,ATL,25,10,4,6,9.9,3.9,1.5,3.9,0.6,2.1,0.3,0.6,0.2,0.9,1.1,1,0.2,0.8,0,0.7,8.9,0,0,-4.1
137,Tony Snell,CHI,23,11,5,6,12.7,3.9,1.4,4,0.8,2.5,0.4,0.4,0.1,1.5,1.5,0.5,0.5,0,0.3,1.2,6.9,0,0,-0.3
135,Mike Muscala,ATL,23,10,5,5,10.2,4.2,2,3.3,0.2,0.8,0,0,0.8,1,1.8,0.1,0.4,0.1,0.3,1.3,7.3,0,0,-3
135,Pero Antic,ATL,32,15,8,7,13.2,4.2,1.1,3.3,0.7,2.1,1.3,1.7,0.6,2.3,2.9,0.3,0.3,0.1,0.2,2.5,8.7,0,0,0
134,James Jones,CLE,34,20,14,6,15.5,4.4,1.3,3.8,1.1,3.2,0.7,0.7,0.1,1.4,1.5,0.5,0.3,0.4,0.2,2.1,8.2,0,0,0.8
132,Aaron Brooks,CHI,30,12,6,6,11,4.5,1.8,5.1,0.7,2.2,0.3,0.6,0.3,1.3,1.5,0.9,0.8,0.3,0.1,1.3,7.9,0,0,-3.2
